63.40,38.50,3.00
64.60,36.75,2.10
65.80,35.00,1.20
80.30,39.20,0.05
94.80,43.40,-1.10
99.80,44.85,-0.80
104.80,46.30,-0.50
105.35,45.10,-0.60
105.90,43.90,-0.70
101.35,40.50,-0.95
96.80,37.10,-1.20
105.35,36.90,-1.90
113.90,36.70,-2.60
119.75,36.30,-2.75
125.60,35.90,-2.90
125.55,34.25,-2.85
125.50,32.60,-2.80
123.40,30.25,-2.70
121.30,27.90,-2.60
121.30,26.10,-2.60
121.30,24.30,-2.60
117.40,22.20,-2.20
113.50,20.10,-1.80
113.30,18.15,-1.65
113.10,16.20,-1.50
111.95,14.70,-1.40
110.80,13.20,-1.30
108.65,10.90,-1.25
106.50,8.60,-1.20
107.65,7.35,-1.10
108.80,6.10,-1.00
107.05,5.15,-0.75
105.30,4.20,-0.50
104.85,3.05,-0.40
104.40,1.90,-0.30
102.20,0.95,-0.15
100.00,0.00,0.00
98.00,-0.80,0.10
96.00,-1.60,0.20
95.55,-2.55,0.35
95.10,-3.50,0.50
92.10,-3.50,1.30
89.10,-3.50,2.10
89.80,-4.65,2.65
90.50,-5.80,3.20
90.40,-6.50,3.65
90.30,-7.20,4.10
89.35,-7.90,4.40
88.40,-8.60,4.70
86.20,-9.05,4.90
84.00,-9.50,5.10
84.55,-10.20,5.90
85.10,-10.90,6.70
83.50,-10.80,7.00
81.90,-10.70,7.30
82.25,-11.35,7.95
82.60,-12.00,8.60
83.75,-13.00,9.20
84.90,-14.00,9.80
83.10,-13.80,10.00
81.30,-13.60,10.20
76.60,-12.80,9.25
71.90,-12.00,8.30
73.10,-12.65,8.95
74.30,-13.30,9.60
75.35,-13.10,9.05
76.40,-12.90,8.50
69.85,-11.75,7.75
63.30,-10.60,7.00
